claim_id,section,claim,value,artifact,producing_code,job_id,status
C01,abstract/5,17 of 17 direct-SS profiles have interior minimum and endpoint recovery,17/17,rmfs/results/tables/lfs_headline_audit.json,rmfs audit script (job 1758039),1758039,verified 2026-09-04
C02,abstract/5,19 of 19 REML LFS-VC profiles have interior minimum and endpoint recovery,19/19,rmfs/results/tables/lfs_headline_audit.json,rmfs audit script (job 1758039),1758039,verified 2026-09-04
C03,5,Estimator parity on 14 shared models,Spearman 1.000; Pearson 0.999987; max abs diff 0.00498,rmfs/results/tables/lfs_headline_audit.json,rmfs audit script,1758039,verified 2026-09-04
C04,5,Dip depth range across 17 direct-SS models,0.039 (bloom-1b7) to 0.336 (Qwen3-8B); Llama-3.1-8B 0.335,rmfs/results/tables/lfs_depth_profile_audit.csv (left_endpoint_lift),code/cluster_grid.py + audit,1758039,verified 2026-09-04; NOTE tech report said 0.374 for Llama under a different depth definition
C05,3,Pure-noise null at (128,300),0.298,tests/test_estimator_floor.py; docs/ROUND3_PHASE_A_CORE_RESULTS_2026-08-24.md,src analysis,1761622,verified formula; value recomputed by hand 127/426
C06,5,Dip-layer LFS all above 0.5 on the 128x300 grid,0.602 to 0.904,results/grid/cross_model_summary.csv; lfs_depth_profile_audit.csv,code/cluster_grid.py,grid jobs,verified 2026-09-04
C07,5,Mistral-7B minimum at layer 2 with second local minimum at layer 15,0.744 at L2; 0.784 at L15,results/grid/Mistral-7B-v0.3/metrics.json,code/cluster_grid.py,grid job,verified 2026-09-04; Figure 1 must be regenerated
C08,5,Qwen3 dip depths increase with scale,0.206/0.213/0.314/0.336,results/grid/cross_model_summary.csv,code/cluster_grid.py,grid jobs,verified 2026-09-04
C09,5,Salamandra dip shallower at 7B than 2B,0.254 -> 0.180,lfs_depth_profile_audit.csv,code/cluster_grid.py,grid jobs,verified 2026-09-04
C10,5,Walk-forward SmolLM2 and Falcon3 dip depths,0.068; 0.140,lfs_depth_profile_audit.csv; paper/WALKFORWARD_PROTOCOL.md,code/cluster_grid.py,1687196/1687197,verified 2026-09-04
C11,5,Misalignment budget offset+scale share (campaign),65 to 98 percent; rotation -0.2 to +0.7 percent; linear 0.4 to 8 percent,results/budget/*/budget.json; paper/figs/fig15_budget_composition.png,src/analysis/budget_real.py,1691597,from technical report; per-model JSONs present; NOT re-verified today
C12,5,Purged Qwen3-1.7B budget re-audit,offset+scale ~64 percent; rotation ~0.1 percent; linear 4-5 percent; nonlinear -6.02 pp,rmfs/results/runs/audit_purged_budget/result.json,rmfs scripts,1703744,from rmfs/ledgers/RUNS.md; NOT re-verified today
C13,5,Linear-or-simpler map selected per model-language pair,74 percent of 1792 pairs; 3 models carry 80 percent of nonlinear,rmfs/paper/FINDINGS.md F3; rmfs K array results,rmfs scripts,1704440,from FINDINGS.md; NOT re-verified today
C14,5,Latent factor beats English per model,113 to 124 of 127; median advantage +0.06 to +0.16 R2,rmfs/results/tables/lfs_hub_audit.csv,code/cluster_grid.py hub_with_controls,1758039,verified 2026-09-04
C15,5,English best single donor for high vs low resource targets,9/10 high; 1/8 low; 45->25 of 127 across Qwen3,paper/TECHNICAL_REPORT.tex sec hub; results/grid/*/metrics.json,code/cluster_grid.py,grid jobs,from technical report; NOT re-verified today
C16,5,Lens validity max cosine mid-stack vs final,~0.10 vs ~0.20,results/lens312/,code/lens_312.py,1686995,from technical report; NOT re-verified today
C17,5,Two-event funnel depths,script 0.05-0.19; concept 0.3-0.5,results/lens312/; results/grid,code/lens_312.py,1686995/1687003,from technical report
C18,6,Raw Belebele correlations and deflated bracket,raw 0.50-0.54; deflated 0.19-0.31,results/deflation/attribution/metric_correlations.csv,code/attribution.py,1686774 + local,from technical report; reproduced exactly by rmfs deflation_reproduce 2026-08-02
C19,6,Tokens beta in deflation regression,+0.267 SE 0.051 p 1.8e-7 R2 0.86,results/deflation/attribution/regression_summary.txt,code/attribution.py,local CPU,from technical report
C20,6,Same-support alpha: LFS concept direction,0.158 lang CI [0.034 0.285] model CI [-0.020 0.289],rmfs/results/submission_comparison/same_support_estimates.csv,rmfs/scripts/compare_lfs_rmfs_submission.py,1758038,verified 2026-09-04
C21,6,Same-support alpha: MEXA external,0.167 lang CI [0.100 0.227] model CI [-0.074 0.408],same_support_estimates.csv,compare_lfs_rmfs_submission.py,1758038,verified 2026-09-04
C22,6,33-model pooled exam deflated validity,MEXA 0.238 [0.180 0.277]; AaR 0.105 [0.051 0.144]; q_L 0.041 [-0.045 0.121],rmfs/results/tables/expanded_validity.txt,rmfs scripts,1758038,verified 2026-09-04
C23,6,INCLUDE native exam validity and translated control,0.080 [-0.024 0.152]; translated same 30 langs 0.073,rmfs/ledgers/DECISIONS.md 2026-08-07 A8,rmfs scripts,1749915,from ledger; NOT re-verified today
C24,6,Exam target reliability ceiling,deflated residual agreement 0.315; ceiling 0.56; averaged exams +0.101 [+0.003 +0.175],rmfs/ledgers/DECISIONS.md 2026-08-08,rmfs scripts,n/a,from ledger
C25,6,Translationese level shift and ordering,language share +0.020 to +0.056 on translated; ordering Spearman 0.996 (share) 0.991 (matching),rmfs/ledgers/DECISIONS.md 2026-08-07 A7; rmfs/results/runs/translationese_*,rmfs scripts,1749800,from ledger
C26,6,Legacy 4-model content transfer: LFS concept direction,0.842 lang CI [0.790 0.905] model CI [-0.043 0.909],same_support_estimates.csv,compare_lfs_rmfs_submission.py,1758038,verified 2026-09-04
C27,6,Legacy 4-model alignment vs R_content deflated pooled,0.67,paper/TECHNICAL_REPORT.tex; code/deflate_b2.py outputs,code/deflate_b2.py,local,from technical report
C28,6,R1 primary: q_L vs R_content,0.508 model CI [0.188 0.707] p 0.003,results/round3/r1_content_transfer_analysis_2026-08-24/associations.csv,src/analysis r1 scripts,1765948,verified 2026-09-04
C29,6,R1 crossed and family intervals,crossed [0.181 0.723]; family [0.242 0.757],associations.csv,r1 scripts,1765948,verified 2026-09-04
C30,6,R1 MEXA and AaR comparators,MEXA 0.591 [0.330 0.818]; AaR 0.443 [0.093 0.709],associations.csv,r1 scripts,1765948,verified 2026-09-04
C31,6,R1 raw content association,0.620 [0.337 0.769],associations.csv,r1 scripts,1765948,verified 2026-09-04
C32,6,R1 model-level association,0.770 [0.440 0.941] n 19,model_level_associations.csv,r1 scripts,1765948,verified 2026-09-04
C33,6,R1 leave-one-family-out range,0.439 to 0.598 all positive,leave_one_family_out.csv,r1 scripts,1765948,verified 2026-09-04
C34,6,R1 completeness,19/19 models positive English content; 40/40 valid ratios; 157700 rows,model_completeness.csv; manifest.json,r1 scripts,1765948,verified 2026-09-04
C35,6,Mismatched foreign context hurts prediction,delta_mismatched negative for most languages (e.g. Qwen3-0.6B deu -0.366 fra -0.406),results/transfer313/*_v2.json,code/transfer_313b.py,1687xxx,verified 2026-09-04 on legacy JSONs
C36,6,Attention matched > mismatched,41/41 languages; peak layer 16/28; deflated rho with alignment 0.53 [0.27 0.73],results/attention313/; docs/ATTENTION_313_SCORECARD.md,code/attention_313.py,cluster,from technical report
C37,7,Synthetic collapse: LFS unchanged; CVP = (1-m)^2,LFS delta < 1e-6; CVP exact to 3 decimals,results/battery/; prereg/PREREG_BATTERY.md,src/battery,1690666,from technical report and FINDINGS F1/F2
C38,7,Invariance sweep cells passed,3414/3416,results/round3/invariance_core_2026-08-24/; docs/ROUND3_PHASE_A_CORE_RESULTS_2026-08-24.md,src/analysis round3,1761595/1761603,from round 3 doc
C39,7,WA-C collapse numbers,norm 451->42; raw concept var 13791->699; LFS 0.4446->0.4932; MEXA 0.4444->0.4878; CVP 0.051,results/aim2/evaluation_wordalign.json,src/aim2/train_wordalign.py + evaluate,cluster,from technical report table; JSON present; NOT re-verified today
C40,7,Collapsed arm behaviorally benign on Belebele,0.395 vs 0.390 control,rmfs/results/belebele_arms/; rmfs/paper/FINDINGS.md F6,rmfs scripts,cluster,from FINDINGS.md
C41,7,LFS and AaR move together under InfoNCE interventions,Pearson +0.924 over 18 arm-seed points,results/aim2/evaluation.json; docs/AIM2_STUDY_SCORECARD.md,src/aim2,1687208 etc,from technical report
C42,7,LFS-as-loss pilot,dip 0.206->0.389; Belebele -2.9 vs control -1.7,results/grid/aim2-lfs; results/grid/aim2-control,code/aim2_pilot.py,1687208,from technical report
C43,7,RMFS v1 scalar same-support alpha and content,0.039 [-0.045 0.109]; 0.545 [0.417 0.642],same_support_estimates.csv,compare_lfs_rmfs_submission.py,1758038,verified 2026-09-04
C44,7,RMFS crash test,0/3 seeds,rmfs/paper/FINDINGS.md F11; rmfs/ledgers/DECISIONS.md,rmfs scripts,cluster,from FINDINGS.md
C45,7,Pooling sensitivity,depth moves 0.13-0.20; ordering within one transposition,results/pooling_variants/; docs/FERTILITY_POOLING_SCORECARD.md,src analysis,cluster,from technical report
C46,7,Fertility vs per-language SS_lang contribution,+0.644 OLMo-2-1B; +0.453 BLOOM; +0.432 Qwen3-0.6B; +0.417 Salamandra,docs/FERTILITY_POOLING_SCORECARD.md,src analysis,cluster,from technical report
C47,7,Whitening rank agreement,Spearman 0.45 vs frozen prediction >0.8,results/whitened/,src analysis,cluster,from technical report
C48,7,Orthogonal-basis sensitivity,Gini 0.855 native -> 0.542 at 16 sweeps; top-5 percent share 0.797 -> 0.310,results/round3/axis_basis_sensitivity_2026-08-24/aggregate.json,src/analysis,1761838/1761870,from docs/AIM1_AXIS_BASIS_SENSITIVITY_RESULTS_2026-08-24.md
C49,3,Language probe accuracy at every layer,0.875-0.886 chance 0.042; Pearson with LFS 0.611 linear 0.701 MLP,results/adversarial_probe/,src analysis adv_probe,cluster,from technical report
C50,3,Evaluation-size sensitivity,LFS -0.006 to -0.010 vs MEXA -0.065 to -0.125 from N=100 to 1000,docs/DISCREPANCY_LEDGER.md D3; results/estimator_nulls/,src analysis,cluster,from ledger D3
C51,3,Family of readings table (LFS profile; raw components; ladder; hub; AaR tail); MEXA external baseline,n/a,docs/AIM1_METRICS_MODELS_DATASETS_EXPERIMENTS_2026-08-24.md sec 3,n/a,n/a,framing; no number
C52,5,E-A bootstrap intervals on dip depth (2000 subsamples of 300 from 1500-sentence dumps; 14 models),half-widths 0.004-0.020 for 12 models; 0.045 Mistral 0.059 Salamandra-2B; ordering preserved 2000/2000; parity <1e-4,results/dip_bootstrap/<model>/bootstrap.json; results/eabc_scoring/summary.json,src/analysis/dip_bootstrap.py; score_eabc.py,1784646,verified 2026-09-05; P-A2 FAIL for 2 models reported
C53,5,E-B FLORES-200 replication of the 17-model profile,17/17 endpoint recovery; Spearman depth 0.917; 14/17 min layer within 2; median |depth diff| 0.0105; profile r 0.936-1.000; 116 languages incl. English (115 non-English),results/flores_grid/<model>/metrics.json; results/eabc_scoring/summary.json,code/cluster_grid_corpus.py; score_eabc.py,1784647 (smoke) + 1784648,verified 2026-09-05; all five predictions PASS
C54,7,E-C instruct versus base profiles (six pairs),6/6 endpoint recovery; |depth diff| <= 0.008; final-layer LFS higher in 5/6 by <= 0.003; min layer within 2 in 5/6,results/instruct_grid/<model>/metrics.json; results/eabc_scoring/summary.json,code/cluster_grid_corpus.py; score_eabc.py,1784649,verified 2026-09-05; all four predictions PASS
C55,2,Related work: per-language centering (Libovicky et al. 2020) and language-mean axes (Chang et al. 2022) as the additive picture LFS quantifies,n/a,docs/LITERATURE_NOVELTY_TABLE_2026-09-05.md,n/a,n/a,verified venues 2026-09-05
C56,K,Appendix K Table 9: content-transfer R_content for the six focal languages (deu fra spa rus arb fas) across the 19 frozen R1 models,table,results/round3/r1_content_transfer_analysis_2026-08-24/per_language_content.csv,paper/iclr2027/tables/focal_rcontent.tex (generated from the CSV 2026-09-06; no new computation),n/a,generated 2026-09-06 from saved artifact
