tag	hf_id	revision	model_family	batch_size
Qwen2.5-0.5B	Qwen/Qwen2.5-0.5B	060db6499f32faf8b98477b0a26969ef7d8b9987	Qwen2.5	32
Qwen2.5-1.5B	Qwen/Qwen2.5-1.5B	8faed761d45a263340a0528343f099c05c9a4323	Qwen2.5	16
Qwen2.5-3B	Qwen/Qwen2.5-3B	3aab1f1954e9cc14eb9509a215f9e5ca08227a9b	Qwen2.5	12
Qwen2.5-7B	Qwen/Qwen2.5-7B	d149729398750b98c0af14eb82c78cfe92750796	Qwen2.5	6
xglm-1.7B	facebook/xglm-1.7B	d23a5e8e2164af31a84a26756b9b17f925143050	XGLM	16
xglm-2.9B	facebook/xglm-2.9B	33c659ae27de09c0a54123d3902dac48cbb8592a	XGLM	12
xglm-7.5B	facebook/xglm-7.5B	732d59308a844004bd9a4def972cc7c3896a38e0	XGLM	6
mGPT	ai-forever/mGPT	40897bd7c8b47a76802c411108ca6220438b8b40	mGPT	12
OLMo-2-1124-13B	allenai/OLMo-2-1124-13B	3fefddc1bf18a30e1d9b91000271630718f2aa8b	OLMo-2	4
granite-3.1-8b-base	ibm-granite/granite-3.1-8b-base	39975ba909950a1bad8fa1cb6981d4d048b75553	Granite	6
Yi-1.5-9B	01-ai/Yi-1.5-9B	80d5471b1eae28beae33e06eadbd4b48e74d4ce1	Yi-1.5	6
TowerBase-7B	Unbabel/TowerBase-7B-v0.1	bd59c10d76007e960368acfc15bebc201c112b1b	Tower	6
occiglot-7b-eu5	occiglot/occiglot-7b-eu5	72d8b932ce09215c9fb4ed91da530c2b9c33373f	Occiglot	6
Sailor-1.8B	sail/Sailor-1.8B	c687a96d5c3e12df9df2de806cbd687d1ccff38d	Sailor	16
Sailor-7B	sail/Sailor-7B	b8b49a0f02073e58db2e42e5811955dfe87ca970	Sailor	6
Llama-3.1-8B	meta-llama/Llama-3.1-8B	d04e592bb4f6aa9cfee91e2e20afa771667e1d4b	Llama-3.1	6
SmolLM2-360M	HuggingFaceTB/SmolLM2-360M	f8027fd0eaeea54caa13c31d31b9fdc459c38b49	SmolLM2	32
Falcon3-3B-Base	tiiuae/Falcon3-3B-Base	092c29e3114ff551bd06b93b85424cdb525d227c	Falcon3	12
Mistral-Nemo-Base-2407	mistralai/Mistral-Nemo-Base-2407	a4477a2f977929a969745b69bbd62e03043551a5	Mistral	4
