pair_id,matched_context_index,target_index,mismatched_context_index,matched_document_id,mismatched_document_id,matched_english_context_words,mismatched_english_context_words,target_english_words
0,0,1,57,bbc.381790,guardian.221754,7,7,20
1,16,17,252,rt.com.91337,reuters.218882,10,10,17
2,22,23,166,nytimes.184853,telegraph.405401,12,12,21
3,43,44,144,upi.176266,euronews-en.153835,8,8,26
4,57,58,0,guardian.221754,bbc.381790,7,7,17
5,75,76,198,dailymail.co.uk.298595,abcnews.306815,11,11,34
6,96,97,43,cnbc.com.6790,upi.176266,8,8,29
7,113,114,129,nytimes.184837,upi.176249,9,9,18
8,129,130,113,upi.176249,nytimes.184837,9,9,25
9,144,145,96,euronews-en.153835,cnbc.com.6790,8,8,19
10,148,149,603,dailymail.co.uk.298732,guardian.221762,14,13,16
11,166,167,256,telegraph.405401,cbsnews.248387,12,12,26
12,177,178,376,newsweek.51331,bbc.381765,7,7,20
13,198,199,75,abcnews.306815,dailymail.co.uk.298595,11,11,19
14,225,226,338,cbsnews.248384,bbc.381679,9,9,38
15,252,253,278,reuters.218882,reuters.218888,10,10,33
16,256,257,22,cbsnews.248387,nytimes.184853,12,12,19
17,271,272,1206,abcnews.306764,rt.com.91350,6,6,14
18,278,279,16,reuters.218888,rt.com.91337,10,10,32
19,297,298,302,bbc.381780,bbc.381746,8,8,21
20,302,303,297,bbc.381746,bbc.381780,8,8,8
21,329,330,271,euronews-en.153800,abcnews.306764,6,6,22
22,338,339,225,bbc.381679,cbsnews.248384,9,9,12
23,345,346,447,bbc.381735,bbc.381647,8,8,20
24,356,357,1335,newsweek.51338,dailymail.co.uk.298622,16,16,35
25,376,377,177,bbc.381765,newsweek.51331,7,7,25
26,382,383,513,cnn.304489,upi.176251,12,12,28
27,395,396,487,reuters.218863,reuters.218932,10,10,31
28,424,425,919,nytimes.184860,guardian.221718,39,51,13
29,441,442,864,cnn.304404,dailymail.co.uk.298738,11,11,28
30,447,448,345,bbc.381647,bbc.381735,8,8,10
31,461,462,584,abcnews.306758,scotsman.133765,9,9,28
32,467,468,542,cnbc.com.6772,cnn.304447,5,5,36
33,487,488,395,reuters.218932,reuters.218863,10,10,43
34,513,514,382,upi.176251,cnn.304489,12,12,23
35,533,534,557,reuters.218921,guardian.221679,7,7,15
36,542,543,467,cnn.304447,cnbc.com.6772,5,5,26
37,557,558,533,guardian.221679,reuters.218921,7,7,9
38,584,585,461,scotsman.133765,abcnews.306758,9,9,28
39,597,598,441,scotsman.133804,cnn.304404,11,11,28
40,603,604,148,guardian.221762,dailymail.co.uk.298732,13,14,9
41,627,628,821,cnbc.com.6769,dailymail.co.uk.298630,12,12,22
42,637,638,956,dailymail.co.uk.298692,cbsnews.248471,18,17,18
43,652,653,769,scotsman.133744,dailymail.co.uk.298759,8,8,40
44,682,683,729,reuters.218911,reuters.218923,9,9,21
45,690,691,811,newsweek.51310,cbsnews.248484,7,7,14
46,705,706,637,independent.226301,dailymail.co.uk.298692,17,18,16
47,729,730,682,reuters.218923,reuters.218911,9,9,30
48,744,745,790,reuters.218861,scotsman.133791,10,10,37
49,769,770,652,dailymail.co.uk.298759,scotsman.133744,8,8,30
